account_id,application_ts,outcome_ts,credit_score,income,region,payment_received_flag,payment_received_ts,default_status_final,split,defaulted
ACC-100023,2025-01-17,2025-04-02,618.0,84848.0,north,0,2025-04-09,DEFAULTED,train,1
ACC-100024,2025-02-13,2025-05-08,676.0,57447.0,south,1,2025-05-13,CURRENT,train,0
ACC-100025,2025-01-16,2025-02-22,678.0,85942.0,south,1,2025-02-24,CURRENT,train,0
ACC-100026,2025-03-01,2025-04-30,751.0,50074.0,north,1,2025-05-04,CURRENT,train,0
ACC-100027,2025-01-27,2025-03-05,783.0,96693.0,south,1,2025-03-06,CURRENT,train,0
ACC-100028,2025-01-29,2025-04-19,672.0,76931.0,south,0,2025-04-27,DEFAULTED,train,1
ACC-100029,2025-01-31,2025-03-09,638.0,77122.0,south,0,2025-03-18,DEFAULTED,train,1
ACC-100030,2025-02-04,2025-04-13,676.0,86053.0,north,1,2025-04-17,CURRENT,train,0
ACC-100031,2025-02-03,2025-03-09,647.0,94908.0,south,1,2025-03-12,CURRENT,train,0
ACC-100032,2025-01-31,2025-04-15,639.0,64224.0,north,0,2025-04-21,DEFAULTED,train,1
ACC-100033,2025-03-01,2025-05-24,677.0,58525.0,south,1,2025-05-29,CURRENT,train,0
ACC-100034,2025-02-18,2025-05-02,623.0,70811.0,north,0,2025-05-09,DEFAULTED,train,1
ACC-100035,2025-02-17,2025-04-04,713.0,53249.0,south,1,2025-04-06,CURRENT,train,0
ACC-100036,2025-02-12,2025-05-03,674.0,72597.0,south,1,2025-05-07,CURRENT,train,0
ACC-100037,2025-02-07,2025-03-27,694.0,118636.0,north,0,2025-03-29,DEFAULTED,train,1
ACC-100038,2025-01-21,2025-04-06,670.0,70981.0,north,0,2025-04-15,DEFAULTED,train,1
ACC-100039,2025-03-01,2025-05-19,640.0,101725.0,north,0,2025-05-23,DEFAULTED,train,1
ACC-100040,2025-01-28,2025-03-28,628.0,65311.0,south,0,2025-04-03,DEFAULTED,train,1
ACC-100041,2025-01-13,2025-03-21,667.0,95384.0,north,0,2025-03-29,DEFAULTED,train,1
ACC-100042,2025-02-20,2025-05-12,650.0,84245.0,south,1,2025-05-18,CURRENT,train,0
ACC-100043,2025-01-10,2025-02-20,693.0,88923.0,north,1,2025-02-21,CURRENT,train,0
ACC-100044,2025-02-21,2025-03-24,680.0,100238.0,north,0,2025-04-02,DEFAULTED,train,1
ACC-100045,2025-02-06,2025-04-03,605.0,121612.0,south,1,2025-04-11,CURRENT,train,0
ACC-100046,2025-01-07,2025-02-16,684.0,93505.0,south,0,2025-02-19,DEFAULTED,train,1
ACC-100047,2025-01-03,2025-03-27,606.0,92238.0,south,0,2025-04-05,DEFAULTED,train,1
ACC-100048,2025-01-27,2025-04-19,646.0,72479.0,south,1,2025-04-28,CURRENT,train,0
ACC-100049,2025-01-03,2025-02-24,664.0,100500.0,south,1,2025-03-02,CURRENT,train,0
ACC-100050,2025-01-09,2025-02-26,566.0,85571.0,north,0,2025-03-02,DEFAULTED,train,1
ACC-100051,2025-01-31,2025-04-13,685.0,104976.0,north,1,2025-04-17,CURRENT,train,0
ACC-100052,2025-02-28,2025-04-26,688.0,89213.0,south,1,2025-04-29,CURRENT,train,0
ACC-100053,2025-01-28,2025-03-04,671.0,121335.0,north,0,2025-03-07,DEFAULTED,train,1
ACC-100054,2025-02-18,2025-04-28,657.0,54308.0,north,0,2025-04-30,DEFAULTED,train,1
ACC-100055,2025-02-25,2025-05-09,659.0,84661.0,south,1,2025-05-11,CURRENT,train,0
ACC-100056,2025-02-19,2025-03-25,626.0,105867.0,south,0,2025-04-03,DEFAULTED,train,1
ACC-100057,2025-02-07,2025-04-24,665.0,83688.0,south,1,2025-04-27,CURRENT,train,0
ACC-100058,2025-01-27,2025-03-30,650.0,75741.0,north,1,2025-04-01,CURRENT,train,0
ACC-100059,2025-01-31,2025-04-20,685.0,85214.0,south,0,2025-04-28,DEFAULTED,train,1
ACC-100060,2025-01-16,2025-04-07,614.0,65161.0,south,1,2025-04-13,CURRENT,train,0
ACC-100061,2025-01-30,2025-04-10,693.0,92141.0,north,0,2025-04-11,DEFAULTED,train,1
ACC-100062,2025-01-23,2025-03-14,688.0,133928.0,south,1,2025-03-17,CURRENT,train,0
ACC-100063,2025-01-15,2025-03-08,672.0,110611.0,south,0,2025-03-16,DEFAULTED,train,1
ACC-100064,2025-03-01,2025-05-13,656.0,70038.0,south,1,2025-05-16,CURRENT,train,0
ACC-100065,2025-01-01,2025-02-03,710.0,74280.0,south,1,2025-02-10,CURRENT,train,0
ACC-100066,2025-01-06,2025-02-18,588.0,82715.0,south,0,2025-02-24,DEFAULTED,train,1
ACC-100067,2025-01-12,2025-03-14,705.0,108079.0,north,0,2025-03-15,DEFAULTED,train,1
ACC-100068,2025-02-28,2025-05-25,693.0,75213.0,south,1,2025-05-27,CURRENT,train,0
ACC-100069,2025-02-11,2025-04-27,696.0,77576.0,north,1,2025-04-28,CURRENT,train,0
ACC-100070,2025-02-22,2025-05-11,701.0,105925.0,south,1,2025-05-19,CURRENT,train,0
ACC-100071,2025-01-13,2025-02-23,644.0,105564.0,north,0,2025-03-02,DEFAULTED,train,1
ACC-100072,2025-02-13,2025-03-31,666.0,83271.0,north,0,2025-04-02,DEFAULTED,train,1
ACC-100073,2025-01-23,2025-03-09,715.0,69880.0,south,1,2025-03-16,CURRENT,train,0
ACC-100074,2025-01-30,2025-04-14,704.0,62105.0,north,1,2025-04-16,CURRENT,train,0
ACC-100075,2025-01-01,2025-03-04,691.0,77418.0,south,0,2025-03-07,DEFAULTED,train,1
ACC-100076,2025-02-07,2025-03-21,597.0,49850.0,south,1,2025-03-28,CURRENT,train,0
ACC-100077,2025-02-19,2025-05-04,710.0,103497.0,south,1,2025-05-12,CURRENT,train,0
ACC-100078,2025-02-09,2025-04-18,744.0,78659.0,south,1,2025-04-21,CURRENT,train,0
ACC-100079,2025-01-10,2025-04-03,736.0,98663.0,south,1,2025-04-05,CURRENT,train,0
ACC-100080,2025-02-02,2025-04-06,693.0,123630.0,south,0,2025-04-07,DEFAULTED,train,1
ACC-100081,2025-01-17,2025-02-23,594.0,111114.0,south,0,2025-02-27,DEFAULTED,train,1
ACC-100082,2025-02-27,2025-05-21,732.0,69280.0,south,1,2025-05-27,CURRENT,train,0
ACC-100083,2025-02-22,2025-04-04,672.0,105646.0,north,1,2025-04-06,CURRENT,train,0
ACC-100084,2025-01-12,2025-02-14,541.0,110841.0,north,0,2025-02-20,DEFAULTED,train,1
ACC-100085,2025-01-31,2025-04-18,701.0,76566.0,south,1,2025-04-24,CURRENT,train,0
ACC-100086,2025-02-26,2025-04-24,598.0,72841.0,north,0,2025-04-26,DEFAULTED,train,1
ACC-100087,2025-02-20,2025-04-29,609.0,88026.0,north,0,2025-04-30,DEFAULTED,train,1
ACC-100088,2025-02-12,2025-03-21,645.0,61174.0,south,0,2025-03-23,DEFAULTED,train,1
ACC-100089,2025-02-08,2025-04-22,750.0,116473.0,north,1,2025-04-24,CURRENT,train,0
ACC-100090,2025-01-03,2025-02-26,660.0,46703.0,north,1,2025-02-28,CURRENT,train,0
ACC-100091,2025-02-14,2025-05-14,695.0,70077.0,south,1,2025-05-21,CURRENT,train,0
ACC-100092,2025-01-29,2025-04-07,776.0,85148.0,north,1,2025-04-10,CURRENT,train,0
ACC-100093,2025-01-06,2025-04-02,768.0,85912.0,north,1,2025-04-07,CURRENT,train,0
ACC-100094,2025-01-15,2025-04-02,674.0,92990.0,south,1,2025-04-09,CURRENT,train,0
ACC-100095,2025-02-02,2025-04-23,667.0,94886.0,south,1,2025-04-29,CURRENT,train,0
ACC-100096,2025-02-13,2025-03-20,611.0,86155.0,south,0,2025-03-24,DEFAULTED,train,1
ACC-100097,2025-01-31,2025-04-17,642.0,110464.0,north,1,2025-04-24,CURRENT,train,0
ACC-100098,2025-02-06,2025-04-13,703.0,51491.0,north,1,2025-04-14,CURRENT,train,0
ACC-100099,2025-02-22,2025-04-16,702.0,89997.0,south,1,2025-04-22,CURRENT,train,0
ACC-100100,2025-02-11,2025-03-31,686.0,77137.0,south,1,2025-04-04,CURRENT,train,0
ACC-100101,2025-01-22,2025-03-31,735.0,92385.0,north,1,2025-04-02,CURRENT,train,0
ACC-100102,2025-02-08,2025-03-21,638.0,93974.0,south,1,2025-03-23,CURRENT,train,0
ACC-100103,2025-02-05,2025-03-18,677.0,73587.0,south,0,2025-03-25,DEFAULTED,train,1
ACC-100104,2025-01-07,2025-03-30,720.0,78463.0,south,1,2025-04-08,CURRENT,train,0
ACC-100105,2025-01-04,2025-03-20,712.0,104267.0,north,1,2025-03-22,CURRENT,train,0
ACC-100106,2025-02-09,2025-04-15,739.0,96283.0,north,1,2025-04-18,CURRENT,train,0
ACC-100107,2025-01-24,2025-04-09,702.0,77756.0,north,1,2025-04-12,CURRENT,train,0
ACC-100108,2025-02-05,2025-03-26,663.0,126718.0,north,1,2025-03-31,CURRENT,train,0
ACC-100109,2025-01-20,2025-04-03,700.0,131565.0,south,1,2025-04-08,CURRENT,train,0
ACC-100110,2025-01-14,2025-02-25,625.0,63676.0,south,0,2025-03-04,DEFAULTED,train,1
ACC-100111,2025-01-10,2025-03-07,590.0,95432.0,south,0,2025-03-09,DEFAULTED,train,1
ACC-100112,2025-01-23,2025-03-02,712.0,135162.0,south,1,2025-03-07,CURRENT,train,0
ACC-100113,2025-02-18,2025-04-11,677.0,104110.0,north,1,2025-04-12,CURRENT,train,0
ACC-100114,2025-01-25,2025-03-16,697.0,93979.0,south,1,2025-03-24,CURRENT,train,0
ACC-100115,2025-01-23,2025-03-19,587.0,86255.0,south,0,2025-03-25,DEFAULTED,train,1
ACC-100116,2025-02-04,2025-04-03,660.0,80259.0,south,1,2025-04-11,CURRENT,train,0
ACC-100117,2025-02-28,2025-04-01,647.0,86175.0,south,1,2025-04-08,CURRENT,train,0
ACC-100118,2025-01-24,2025-03-15,632.0,80087.0,south,1,2025-03-22,CURRENT,train,0
ACC-100119,2025-02-05,2025-04-26,556.0,103408.0,south,0,2025-04-30,DEFAULTED,train,1
ACC-100120,2025-01-27,2025-03-23,662.0,82833.0,south,1,2025-03-31,CURRENT,train,0
ACC-100121,2025-02-06,2025-04-09,729.0,82059.0,north,1,2025-04-13,CURRENT,train,0
ACC-100122,2025-01-27,2025-03-04,701.0,68361.0,south,1,2025-03-07,CURRENT,train,0
ACC-100123,2025-02-08,2025-04-02,647.0,89107.0,south,0,2025-04-04,DEFAULTED,train,1
ACC-100124,2025-02-02,2025-05-01,679.0,73906.0,south,1,2025-05-06,CURRENT,train,0
ACC-100125,2025-02-10,2025-04-13,722.0,86746.0,south,1,2025-04-18,CURRENT,train,0
ACC-100126,2025-02-27,2025-03-30,528.0,108753.0,north,0,2025-04-02,DEFAULTED,train,1
ACC-100127,2025-01-10,2025-03-24,673.0,96587.0,north,1,2025-03-30,CURRENT,train,0
ACC-100128,2025-02-03,2025-04-20,710.0,99085.0,south,1,2025-04-22,CURRENT,train,0
ACC-100129,2025-01-27,2025-03-20,718.0,96410.0,south,1,2025-03-29,CURRENT,train,0
ACC-100130,2025-01-22,2025-02-22,774.0,91065.0,south,1,2025-02-23,CURRENT,train,0
ACC-100131,2025-01-15,2025-04-04,742.0,87708.0,north,1,2025-04-05,CURRENT,train,0
ACC-100132,2025-01-04,2025-02-18,697.0,84459.0,north,1,2025-02-21,CURRENT,train,0
ACC-100133,2025-01-25,2025-04-20,697.0,103664.0,south,1,2025-04-29,CURRENT,train,0
ACC-100134,2025-02-19,2025-04-11,723.0,70484.0,south,0,2025-04-13,DEFAULTED,train,1
ACC-100135,2025-01-06,2025-02-28,650.0,114133.0,south,0,2025-03-09,DEFAULTED,train,1
ACC-100136,2025-01-25,2025-04-12,678.0,90613.0,north,1,2025-04-16,CURRENT,train,0
ACC-100137,2025-02-28,2025-04-07,730.0,76523.0,south,1,2025-04-11,CURRENT,train,0
ACC-100138,2025-02-27,2025-03-30,788.0,81195.0,south,1,2025-03-31,CURRENT,train,0
ACC-100139,2025-01-13,2025-03-29,671.0,77814.0,south,1,2025-04-05,CURRENT,train,0
ACC-100140,2025-01-01,2025-03-27,677.0,92884.0,south,1,2025-04-04,CURRENT,train,0
ACC-100141,2025-02-10,2025-05-10,691.0,77079.0,south,1,2025-05-18,CURRENT,train,0
ACC-100142,2025-01-01,2025-02-07,754.0,110558.0,north,1,2025-02-09,CURRENT,train,0
ACC-100143,2025-01-19,2025-02-26,678.0,75930.0,south,0,2025-03-04,DEFAULTED,train,1
ACC-100144,2025-01-30,2025-03-21,761.0,49095.0,south,1,2025-03-26,CURRENT,train,0
ACC-100145,2025-02-22,2025-05-05,627.0,76842.0,south,0,2025-05-08,DEFAULTED,train,1
ACC-100146,2025-01-06,2025-03-31,670.0,53847.0,south,1,2025-04-07,CURRENT,train,0
ACC-100147,2025-02-09,2025-04-29,669.0,89282.0,north,1,2025-05-05,CURRENT,train,0
ACC-100148,2025-02-01,2025-03-25,723.0,109065.0,north,1,2025-04-02,CURRENT,train,0
ACC-100149,2025-01-08,2025-04-03,737.0,101660.0,south,0,2025-04-11,DEFAULTED,train,1
ACC-100150,2025-02-20,2025-04-06,597.0,65923.0,south,0,2025-04-14,DEFAULTED,train,1
ACC-100151,2025-02-20,2025-03-29,630.0,76279.0,south,0,2025-03-30,DEFAULTED,train,1
ACC-100152,2025-01-29,2025-03-26,699.0,122015.0,south,1,2025-04-01,CURRENT,train,0
ACC-100153,2025-02-26,2025-04-02,644.0,95733.0,south,0,2025-04-07,DEFAULTED,train,1
ACC-100154,2025-02-06,2025-04-17,596.0,90074.0,south,1,2025-04-19,CURRENT,train,0
ACC-100155,2025-02-24,2025-05-24,737.0,109009.0,south,0,2025-05-25,DEFAULTED,train,1
ACC-100156,2025-02-27,2025-04-04,707.0,134149.0,north,1,2025-04-06,CURRENT,train,0
ACC-100157,2025-02-04,2025-03-13,707.0,113338.0,north,1,2025-03-21,CURRENT,train,0
ACC-100158,2025-01-17,2025-02-26,654.0,92509.0,north,1,2025-03-05,CURRENT,train,0
ACC-100159,2025-01-09,2025-02-18,737.0,96384.0,north,1,2025-02-26,CURRENT,train,0
ACC-100160,2025-02-03,2025-04-06,667.0,101107.0,south,0,2025-04-15,DEFAULTED,train,1
ACC-100161,2025-01-12,2025-03-17,740.0,78971.0,north,1,2025-03-18,CURRENT,train,0
ACC-100162,2025-02-15,2025-05-13,630.0,70943.0,south,1,2025-05-17,CURRENT,train,0
ACC-100163,2025-02-25,2025-04-22,633.0,90944.0,north,1,2025-04-29,CURRENT,train,0
ACC-100164,2025-01-15,2025-04-10,691.0,72950.0,south,1,2025-04-17,CURRENT,train,0
ACC-100165,2025-02-03,2025-04-19,641.0,88894.0,south,0,2025-04-26,DEFAULTED,train,1
ACC-100166,2025-01-03,2025-03-25,717.0,91730.0,north,1,2025-03-27,CURRENT,train,0
ACC-100167,2025-01-11,2025-02-21,694.0,132139.0,south,1,2025-02-23,CURRENT,train,0
ACC-100168,2025-01-23,2025-03-21,629.0,74681.0,south,0,2025-03-25,DEFAULTED,train,1
ACC-100169,2025-02-23,2025-05-18,684.0,87808.0,south,1,2025-05-23,CURRENT,train,0
ACC-100170,2025-02-28,2025-05-14,661.0,87043.0,south,0,2025-05-17,DEFAULTED,train,1
ACC-100171,2025-02-08,2025-03-23,730.0,97872.0,south,1,2025-03-30,CURRENT,train,0
ACC-100172,2025-02-05,2025-04-26,645.0,108841.0,north,0,2025-04-28,DEFAULTED,train,1
ACC-100173,2025-02-04,2025-04-21,656.0,81171.0,south,1,2025-04-25,CURRENT,train,0
ACC-100174,2025-01-04,2025-02-11,747.0,75216.0,south,0,2025-02-12,DEFAULTED,train,1
ACC-100175,2025-01-23,2025-02-26,803.0,60467.0,south,1,2025-03-03,CURRENT,train,0
ACC-100176,2025-02-28,2025-04-14,790.0,73328.0,north,1,2025-04-21,CURRENT,train,0
ACC-100177,2025-01-25,2025-03-24,683.0,99656.0,south,1,2025-04-02,CURRENT,train,0
ACC-100178,2025-01-13,2025-02-21,692.0,90822.0,south,1,2025-02-24,CURRENT,train,0
ACC-100179,2025-01-15,2025-02-15,764.0,71722.0,south,1,2025-02-21,CURRENT,train,0
ACC-100180,2025-02-12,2025-03-20,673.0,83290.0,south,0,2025-03-21,DEFAULTED,train,1
ACC-100181,2025-01-03,2025-02-20,626.0,90567.0,north,0,2025-02-25,DEFAULTED,train,1
ACC-100182,2025-02-28,2025-04-22,686.0,99066.0,south,1,2025-04-30,CURRENT,train,0
ACC-100183,2025-02-22,2025-04-11,705.0,79319.0,south,1,2025-04-12,CURRENT,train,0
ACC-100184,2025-02-04,2025-04-01,634.0,85492.0,south,1,2025-04-05,CURRENT,train,0
ACC-100185,2025-01-29,2025-04-12,589.0,57268.0,south,0,2025-04-14,DEFAULTED,train,1
ACC-100186,2025-02-15,2025-03-31,601.0,69275.0,south,0,2025-04-05,DEFAULTED,train,1
ACC-100187,2025-02-02,2025-03-31,717.0,119119.0,south,1,2025-04-08,CURRENT,train,0
ACC-100188,2025-01-29,2025-04-12,638.0,50613.0,south,0,2025-04-17,DEFAULTED,train,1
ACC-100189,2025-01-20,2025-02-22,672.0,83920.0,south,1,2025-03-01,CURRENT,train,0
ACC-100190,2025-01-27,2025-04-23,692.0,93946.0,south,1,2025-04-26,CURRENT,train,0
ACC-100191,2025-02-15,2025-05-15,714.0,83262.0,south,1,2025-05-23,CURRENT,train,0
ACC-100192,2025-01-04,2025-02-20,662.0,75453.0,north,1,2025-02-23,CURRENT,train,0
ACC-100193,2025-01-02,2025-03-26,707.0,88901.0,south,1,2025-04-01,CURRENT,train,0
ACC-100194,2025-02-13,2025-03-30,631.0,89911.0,south,0,2025-04-03,DEFAULTED,train,1
ACC-100195,2025-01-23,2025-04-17,660.0,88522.0,north,1,2025-04-23,CURRENT,train,0
ACC-100196,2025-02-18,2025-04-28,624.0,56201.0,south,0,2025-05-01,DEFAULTED,train,1
ACC-100197,2025-01-02,2025-02-15,742.0,87347.0,south,1,2025-02-20,CURRENT,train,0
ACC-100198,2025-02-24,2025-03-29,679.0,74608.0,north,1,2025-04-01,CURRENT,train,0
ACC-100199,2025-01-08,2025-03-02,639.0,80141.0,south,0,2025-03-09,DEFAULTED,train,1
ACC-100200,2025-01-25,2025-04-09,661.0,94086.0,south,1,2025-04-12,CURRENT,train,0
ACC-100201,2025-02-28,2025-04-12,668.0,101533.0,north,1,2025-04-15,CURRENT,train,0
ACC-100202,2025-01-07,2025-03-08,719.0,106142.0,north,1,2025-03-09,CURRENT,train,0
ACC-100203,2025-02-09,2025-03-18,592.0,81065.0,south,0,2025-03-23,DEFAULTED,train,1
ACC-100204,2025-02-13,2025-04-09,623.0,106632.0,north,0,2025-04-10,DEFAULTED,train,1
ACC-100205,2025-01-26,2025-02-26,659.0,111127.0,south,1,2025-03-03,CURRENT,train,0
ACC-100206,2025-01-05,2025-04-04,819.0,110459.0,north,1,2025-04-12,CURRENT,train,0
ACC-100207,2025-02-01,2025-04-02,733.0,115016.0,south,1,2025-04-08,CURRENT,train,0
ACC-100208,2025-01-27,2025-04-17,674.0,87378.0,south,1,2025-04-22,CURRENT,train,0
ACC-100209,2025-02-22,2025-03-31,719.0,86866.0,south,1,2025-04-02,CURRENT,train,0
ACC-100210,2025-02-10,2025-03-22,793.0,104851.0,south,1,2025-03-30,CURRENT,train,0
ACC-100211,2025-01-21,2025-03-02,667.0,65403.0,south,0,2025-03-03,DEFAULTED,train,1
ACC-100212,2025-01-04,2025-03-09,660.0,93770.0,north,0,2025-03-11,DEFAULTED,train,1
ACC-100213,2025-02-05,2025-04-27,747.0,80450.0,north,1,2025-04-28,CURRENT,train,0
ACC-100214,2025-01-17,2025-03-24,707.0,83362.0,south,1,2025-03-28,CURRENT,train,0
ACC-100215,2025-02-11,2025-04-11,717.0,58653.0,south,1,2025-04-13,CURRENT,train,0
ACC-100216,2025-02-21,2025-05-18,652.0,73970.0,south,1,2025-05-20,CURRENT,train,0
ACC-100217,2025-01-22,2025-03-04,786.0,89631.0,south,1,2025-03-12,CURRENT,train,0
ACC-100218,2025-02-24,2025-04-04,774.0,105992.0,south,0,2025-04-09,DEFAULTED,train,1
ACC-100219,2025-02-01,2025-04-12,711.0,107820.0,south,1,2025-04-19,CURRENT,train,0
ACC-100220,2025-02-01,2025-04-23,718.0,88554.0,south,1,2025-04-28,CURRENT,train,0
ACC-100221,2025-02-15,2025-04-01,569.0,86593.0,south,0,2025-04-08,DEFAULTED,train,1
ACC-100222,2025-02-17,2025-04-03,715.0,75048.0,south,1,2025-04-10,CURRENT,train,0
ACC-100223,2025-02-24,2025-04-26,669.0,97242.0,north,1,2025-04-30,CURRENT,train,0
ACC-100224,2025-03-01,2025-05-16,704.0,85544.0,south,0,2025-05-24,DEFAULTED,train,1
ACC-100225,2025-01-10,2025-02-25,718.0,100906.0,south,1,2025-02-26,CURRENT,train,0
ACC-100226,2025-01-25,2025-04-14,661.0,121530.0,north,0,2025-04-23,DEFAULTED,train,1
ACC-100227,2025-02-26,2025-04-27,587.0,89417.0,south,0,2025-05-02,DEFAULTED,train,1
ACC-100228,2025-01-19,2025-04-01,700.0,63048.0,north,0,2025-04-03,DEFAULTED,train,1
ACC-100229,2025-01-01,2025-03-09,639.0,74505.0,south,0,2025-03-17,DEFAULTED,train,1
ACC-100230,2025-02-04,2025-04-03,662.0,63753.0,south,1,2025-04-10,CURRENT,train,0
ACC-100231,2025-02-15,2025-04-18,647.0,68452.0,south,1,2025-04-23,CURRENT,train,0
ACC-100232,2025-02-14,2025-05-14,661.0,113495.0,south,0,2025-05-17,DEFAULTED,train,1
ACC-100233,2025-02-18,2025-04-12,553.0,94080.0,south,1,2025-04-18,CURRENT,train,0
ACC-100234,2025-02-08,2025-05-05,747.0,62637.0,north,1,2025-05-13,CURRENT,train,0
ACC-100235,2025-01-09,2025-03-27,694.0,101765.0,south,1,2025-03-31,CURRENT,train,0
ACC-100236,2025-02-20,2025-04-01,741.0,112687.0,south,1,2025-04-03,CURRENT,train,0
ACC-100237,2025-01-26,2025-04-18,789.0,83522.0,south,1,2025-04-20,CURRENT,train,0
ACC-100238,2025-02-20,2025-04-13,681.0,77832.0,north,1,2025-04-21,CURRENT,train,0
ACC-100239,2025-02-18,2025-03-30,581.0,83927.0,north,1,2025-04-05,CURRENT,train,0
ACC-100240,2025-02-28,2025-04-14,631.0,95123.0,south,0,2025-04-17,DEFAULTED,train,1
ACC-100241,2025-01-01,2025-02-08,614.0,101519.0,south,0,2025-02-13,DEFAULTED,train,1
ACC-100242,2025-02-21,2025-04-12,652.0,111280.0,south,1,2025-04-14,CURRENT,train,0
ACC-100243,2025-02-07,2025-03-15,684.0,111825.0,south,1,2025-03-19,CURRENT,train,0
ACC-100244,2025-01-30,2025-04-02,570.0,111337.0,south,0,2025-04-10,DEFAULTED,train,1
ACC-100245,2025-02-17,2025-05-16,699.0,114515.0,south,1,2025-05-19,CURRENT,train,0
ACC-100246,2025-02-27,2025-05-25,597.0,101905.0,north,1,2025-06-03,CURRENT,train,0
ACC-100247,2025-01-31,2025-04-27,696.0,62444.0,south,1,2025-05-04,CURRENT,train,0
ACC-100248,2025-01-06,2025-02-19,674.0,87643.0,south,1,2025-02-20,CURRENT,train,0
ACC-100249,2025-02-13,2025-03-28,663.0,95651.0,north,0,2025-03-31,DEFAULTED,train,1
ACC-100250,2025-01-14,2025-03-25,676.0,83104.0,south,0,2025-03-28,DEFAULTED,train,1
ACC-100251,2025-01-14,2025-04-12,650.0,106403.0,north,1,2025-04-18,CURRENT,train,0
ACC-100252,2025-01-12,2025-04-01,646.0,83516.0,south,1,2025-04-10,CURRENT,train,0
ACC-100253,2025-01-12,2025-02-23,587.0,73337.0,south,1,2025-02-26,CURRENT,train,0
ACC-100254,2025-02-24,2025-05-09,678.0,115997.0,south,1,2025-05-11,CURRENT,train,0
ACC-100255,2025-01-22,2025-03-23,782.0,101988.0,south,1,2025-03-30,CURRENT,train,0
ACC-100256,2025-01-07,2025-03-04,789.0,93947.0,south,1,2025-03-10,CURRENT,train,0
ACC-100257,2025-01-11,2025-03-11,753.0,106681.0,south,1,2025-03-15,CURRENT,train,0
ACC-100258,2025-01-24,2025-03-27,719.0,109126.0,north,1,2025-04-03,CURRENT,train,0
ACC-100259,2025-01-21,2025-04-15,643.0,96139.0,north,0,2025-04-20,DEFAULTED,train,1
ACC-100260,2025-01-19,2025-04-06,759.0,45762.0,south,1,2025-04-14,CURRENT,train,0
ACC-100261,2025-02-26,2025-03-30,677.0,77839.0,south,1,2025-04-08,CURRENT,train,0
ACC-100262,2025-02-21,2025-05-07,676.0,81782.0,south,1,2025-05-10,CURRENT,train,0
ACC-100263,2025-02-04,2025-03-24,664.0,72284.0,south,1,2025-03-31,CURRENT,train,0
ACC-100264,2025-03-01,2025-04-20,685.0,93576.0,north,1,2025-04-25,CURRENT,train,0
ACC-100265,2025-01-21,2025-03-27,656.0,111460.0,south,0,2025-04-03,DEFAULTED,train,1
ACC-100266,2025-01-09,2025-04-08,675.0,81272.0,south,1,2025-04-12,CURRENT,train,0
ACC-100267,2025-01-17,2025-02-19,620.0,69573.0,south,0,2025-02-23,DEFAULTED,train,1
